abbr,university,faculty,title,mode,link,duration,fees,start,deadline,description
MSc(Urban Planning) (UP),HKU,Faculty of Architecture,Master of Science in Urban Planning (Urban Planning Stream) [UGC-funded for HK Applicants],Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-urban-planning-(for-general-applicants)-foa&mode=0,2 years,"UGC-funded HK$96,500",September 2026,"Early Round: 12:00 noon (GMT +8), October 22, 2025 Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time (two years)
MUrbanDesign,HKU,Faculty of Architecture,Master of Urban Design (For ADB-Japan Scholarship Programme applicants),Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-urban-design-(for-adb-japan-scholarship-programme-applicants)-foa&mode=0,1 year,To be updated,September 2026,"Main Round: 12:00 noon (GMT +8), January 30, 2026",Full Time (one year)
MUrbanDesign,HKU,Faculty of Architecture,Master of Urban Design (For general applicants),Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-urban-design-(for-general-applicants)-foa&mode=0,1 year,"Self-funded HK$292,500",September 2026,"Early Round Admissions: 12:00 noon (GMT +8), October 22, 2025 Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time (one year)
MUS&HM,HKU,Faculty of Architecture,Master of Urban Studies and Housing Management,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-urban-studies-and-housing-management-foa&mode=0,1 year,"Housing Management (Professional) Stream HK$226,000 Urban Studies Stream HK$218,000",September 2026,"Early Round Admissions: 12:00 noon (GMT +8), October 22, 2025 Main Round Admissions: 12:00 noon (GMT +8), January 02, 2026",Full Time (one year)
PDLA,HKU,Faculty of Architecture,Postgraduate Diploma in Landscape Architecture,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=postgraduate-diploma-in-landscape-architecture-foa&mode=0,1 year,"Self-funded HK$198,000",August 2026,"Early Round: 12:00 noon (GMT +8), October 22, 2025 Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time (one year)
MA(AppliedLinguistics),HKU,Faculty of Arts,Master of Arts in Applied Linguistics,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-applied-linguistics-arts&mode=0,1 year,To be updated,To be updated,"Round 1 (Main): 12:00 noon (GMT +8), December 29, 2025 Round 2 (Clearing): 12:00 noon (GMT +8), February 24, 2026",Full Time (one year)
MA,HKU,Faculty of Arts,"Master of Arts in the field of AI, Ethics and Society",Full-Time,"https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-ai,-ethics-and-society-arts&mode=0",1 year,To be updated,To be updated,"Round 1: 12:00 noon (GMT +8), January 23, 2026 Round 2: 12:00 noon (GMT +8), April 30, 2026 Round 3: 12:00 noon (GMT +8), June 30, 2026",Full Time (one year)
MA,HKU,Faculty of Arts,Master of Arts in the field of Art History,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-art-history-arts&mode=0,1 year,To be updated,September 2026,"Round 1: 12:00 noon (GMT +8), December 31, 2025 Round 2: 12:00 noon (GMT +8), March 02, 2026 Round 3: 12:00 noon (GMT +8), May 04, 2026",Full Time
MA,HKU,Faculty of Arts,Master of Arts in the field of Chinese Historical Studies,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-chinese-historical-studies-arts&mode=0,1 year,To be updated,To be updated,"Round 1: 12:00 noon (GMT +8), February 02, 2026 Round 2: 12:00 noon (GMT +8), April 30, 2026","Full Time (one year, with daytime classes on weekdays and weekends)"
MA,HKU,Faculty of Arts,Master of Arts in the field of Chinese Language and Literature,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-chinese-language-and-literature-arts&mode=0,1 year,To be updated,To be updated,"Round 1: 12:00 noon (GMT +8), January 29, 2026 Round 2: 12:00 noon (GMT +8), April 30, 2026","Full Time (one year, with classes primarily on weekday evenings/weekend afternoons and occasionally weekday daytime)"
MA,HKU,Faculty of Arts,Master of Arts in the field of Creative Communications,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-creative-communications-arts&mode=0,1 year,To be updated,To be updated,"Round 1: 12:00 noon (GMT +8), November 28, 2025 Round 2: 12:00 noon (GMT +8), March 20, 2026",Full Time (one year)
MA,HKU,Faculty of Arts,Master of Arts in the field of English Studies,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-english-studies-arts&mode=0,1 year,To be updated,To be updated,"Round 1: 12:00 noon (GMT +8), November 28, 2025 Round 2: 12:00 noon (GMT +8), March 20, 2026",Full Time (one year)
MA,HKU,Faculty of Arts,Master of Arts in the field of Hong Kong History,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-hong-kong-history-arts&mode=0,1 year,To be updated,To be updated,"Main Round: 12:00 noon (GMT +8), May 05, 2026","Full Time (one year, classes may be arranged on weekdays and weekday evenings)"
MA,HKU,Faculty of Arts,Master of Arts in the field of Linguistics,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-linguistics-arts&mode=0,1 year,To be updated,To be updated,"Main Round: 12:00 noon (GMT +8), March 31, 2026","Full Time (one year, with classes on weekdays and weekends)"
MA,HKU,Faculty of Arts,Master of Arts in the field of Literary and Cultural Studies,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-literary-and-cultural-studies-arts&mode=0,1 year,To be updated,To be updated,"Round 1: 12:00 noon (GMT +8), January 02, 2026 Round 2: 12:00 noon (GMT +8), March 27, 2026","Full Time (one year, with classes primarily on weekday evenings and occasionally weekday afternoons/Saturday mornings)(The semester courses offered by the programme will vary from time to time)"
MA,HKU,Faculty of Arts,Master of Arts in the field of Museum Studies,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-museum-studies-arts&mode=0,1 year,To be updated,To be updated,"Main Round: 12:00 noon (GMT +8), May 15, 2026","Full Time (one year, with classes primarily on weekday mornings and afternoons, and specific electives on weekday evenings and weekends.)(The semester courses offered by the programme will vary from time to time.) Applicants who do not receive a conditional offer by mid-July may consider their application unsuccessful."
MA,HKU,Faculty of Arts,Master of Arts in the field of Music Studies,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-music-studies-arts&mode=0,1 year,To be updated,To be updated,"Main Round: 12:00 noon (GMT +8), April 30, 2026",Full Time (one year)(The semester courses offered by the programme will vary from time to time)
MA,HKU,Faculty of Arts,"Master of Arts in the field of Philosophy, Politics and Economics",Full-Time,"https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-philosophy,-politics-and-economics-arts&mode=0",1 year,To be updated,To be updated,"Round 1: 12:00 noon (GMT +8), January 23, 2026 Round 2: 12:00 noon (GMT +8), April 30, 2026 Round 3: 12:00 noon (GMT +8), June 30, 2026",Full Time (one year)(The semester courses offered by the programme will vary from time to time)
MA,HKU,Faculty of Arts,Master of Arts in the field of Translation,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-the-field-of-translation-arts&mode=0,1 year,To be updated,To be updated,"Round 1: 12:00 noon (GMT +8), February 02, 2026 Round 2: 12:00 noon (GMT +8), April 30, 2026","Full Time (one year, with classes on weekdays and weekends)"
MBC,HKU,Faculty of Arts,Master of Buddhist Counselling,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-buddhist-counselling-arts&mode=0,1 year,To be updated,To be updated,"Main Round: 12:00 noon (GMT +8), February 27, 2026","Full Time (one year, with classes on weekday evenings and weekends)"
MBuddhStud,HKU,Faculty of Arts,Master of Buddhist Studies,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-buddhist-studies-arts&mode=0,1 year,To be updated,September 2026,"Round 1: 12:00 noon (GMT +8), December 12, 2025 Round 2: 12:00 noon (GMT +8), February 27, 2026",Classes on weekday evenings and weekends
MFA,HKU,Faculty of Arts,Master of Fine Arts in the field of Creative Writing in English,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-fine-arts-in-the-field-of-creative-writing-in-english-arts&mode=0,1 year,To be updated,To be updated,"Round 1: 12:00 noon (GMT +8), November 28, 2025 Round 2: 12:00 noon (GMT +8), March 20, 2026",Full Time (one year)
AdvDipOrth,HKU,Faculty of Dentistry,Advanced Diploma in Orthodontics,Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=advanced-diploma-in-orthodontics-facdent&mode=0,,,,,
MDS(Endo),HKU,Faculty of Dentistry,Master of Dental Surgery in Endodontics,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-dental-surgery-in-endodontics-facdent&mode=0,3 years,"Composition fees per year (subject to University's approval) HK$550,000",September 2025,"12:00 noon (GMT +8), March 31, 2025",Full Time (three years)
MDS(OralMaxFacSur),HKU,Faculty of Dentistry,Master of Dental Surgery in Oral and Maxillofacial Surgery,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-dental-surgery-in-oral-and-maxillofacial-surgery-facdent&mode=0,3 years,"Composition fees per year (subject to University's approval) HK$550,000",September 2025,"12:00 noon (GMT +8), March 31, 2025",Full Time (three years)
MDS(Orthodontics&DentofacialOrthopaedics),HKU,Faculty of Dentistry,Master of Dental Surgery in Orthodontics and Dentofacial Orthopaedics,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-dental-surgery-in-orthodontics-and-dentofacial-orthopaedics-facdent&mode=0,3 years,"Composition fees per year (subject to University's approval) HK$550,000",September 2025,"12:00 noon (GMT +8), March 31, 2025",Full Time (three years)
MDS(PaediatrDent),HKU,Faculty of Dentistry,Master of Dental Surgery in Paediatric Dentistry,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-dental-surgery-in-paediatric-dentistry-facdent&mode=0,3 years,"Composition fees per year (subject to University's approval) HK$550,000",September 2025,"12:00 noon (GMT +8), March 31, 2025",Full Time (three years)
MDS(Perio),HKU,Faculty of Dentistry,Master of Dental Surgery in Periodontology,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-dental-surgery-in-periodontology-facdent&mode=0,3 years,"Composition fees per year (subject to University's approval) HK$595,000",September 2025,"12:00 noon (GMT +8), March 31, 2025",Full Time (three years)
MDS(Prostho),HKU,Faculty of Dentistry,Master of Dental Surgery in Prosthodontics,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-dental-surgery-in-prosthodontics-facdent&mode=0,3 years,"Composition fees per year (subject to University's approval) HK$550,000",September 2025,"12:00 noon (GMT +8), March 31, 2025",Full Time (three years)
MSc(CommunityDent),HKU,Faculty of Dentistry,Master of Science in Community Dentistry,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-community-dentistry-facdent&mode=0,1 year,"Composition fees per year (subject to University's approval) HK$363,000",September 2025,"12:00 noon (GMT +8), March 31, 2025",Full Time (one year)
MSc(DMS),HKU,Faculty of Dentistry,Master of Science in Dental Materials Science,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-dental-materials-science-facdent&mode=0,1 year,"Composition fees per year (subject to University's approval) HK$275,000",September 2025,"12:00 noon (GMT +8), March 31, 2025",Full Time (one year)
MSc(ImplantDent),HKU,Faculty of Dentistry,Master of Science in Implant Dentistry,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-implant-dentistry-facdent&mode=0,2 years,To be updated,September 2025,"12:00 noon (GMT +8), March 31, 2025",Full Time (two years)
MSc(OMFR&DI),HKU,Faculty of Dentistry,Master of Science in Oral and Maxillofacial Radiology & Diagnostic Imaging,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-oral-and-maxillofacial-radiology-and-diagnostic-imaging-facdent&mode=0,1 year,"Composition fees per year (subject to University's approval) HK$363,000",September 2025,"12:00 noon (GMT +8), March 31, 2025",Full Time (one year)
EdD,HKU,Faculty of Education,Doctor of Education,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=doctor-of-education-edu&mode=0,3 years,"Annual Composition Fee (Composition fees for 2025-26 intake may be subject to change) HK$113,040",September 2025,"September intake: 12:00 noon (GMT +8), February 21, 2025",Full Time (three years to five years)
MA(TESOL),HKU,Faculty of Education,Master of Arts in Teaching English to Speakers of Other Languages,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-arts-in-teaching-english-to-speakers-of-other-languages-edu&mode=0,1 year,To be updated,September 2026,To be updated,"Full Time (normally one year including the summer semester, up to a maximum of two years)"
MEd,HKU,Faculty of Education,Master of Education,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-education-edu&mode=0,1 year,"IB-related specialisms (subject to approval) HK$247,800 Non IB-related specialisms (subject to approval) HK$229,800",September 2025,"Main Round: 12:00 noon (GMT +8), May 15, 2025","Full Time (normally one year, up to a maximum of two consecutive years, with classes generally on weekday evenings)"
MSc(Audiology),HKU,Faculty of Education,Master of Science in Audiology,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-audiology-edu&mode=0,2 years,To be updated,September 2026,To be updated,Full Time (two years)
MSc(LIM),HKU,Faculty of Education,Master of Science in Library and Information Management,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-library-and-information-management-edu&mode=0,1 year,"The fee is subject to the University's approval HK$229,800",September 2025,"Main Round: 12:00 noon (GMT +8), February 03, 2025","Full Time (normally one year, up to a maximum of two years)"
MSc(TDLL),HKU,Faculty of Education,"Master of Science in Technology, Design and Leadership for Learning",Full-Time & Part-Time,"https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-technology,-design-and-leadership-for-learning-edu&mode=0",1 year,"The fee is subject to the University's approval HK$229,800",September 2025,"Main Round: 12:00 noon (GMT +8), March 14, 2025","Full Time (normally one year, up to a maximum of two years)"
PGDE,HKU,Faculty of Education,Postgraduate Diploma in Education,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=postgraduate-diploma-in-education-edu&mode=0,1 year,To be updated,September 2026,"Main Round: 12:00 noon (GMT +8), November 28, 2025","Full Time (normally one year, up to a maximum of two years, with classes possibly on weekday evenings and/or Saturday)"
PGDE(TCSL),HKU,Faculty of Education,Postgraduate Diploma in Education (Teaching Chinese as a Second Language),Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=postgraduate-diploma-in-education-(teaching-chinese-as-a-second-language)-edu&mode=0,1 year,To be updated,September 2026,"Main Round: 12:00 noon (GMT +8), January 05, 2026","Full Time (normally one year, up to a maximum of two years, with classes possibly on weekday evenings and/or Saturday)"
MSc(Eng)(BSE),HKU,Faculty of Engineering,Master of Science in Engineering (Building Services Engineering),Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-engineering-(building-services-engineering)-engg&mode=0,1 year,"Self-funded Local: HK$250,000 Non-local: HK$375,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2026 September,"Round 1 (Main): 12:00 noon (GMT +8), January 02, 2026 Round 2 (Clearing): 12:00 noon (GMT +8), April 10, 2026",Normative study period: 1 year. Maximum study period: 2 years. Classes mainly on weekday evenings and Saturdays.
MSc(Eng)(CivE),HKU,Faculty of Engineering,Master of Science in Engineering (Civil Engineering) - Environmental Engineering Stream,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-engineering-(civil-engineering)-environmental-engineering-stream-engg&mode=0,1 year,"Self-funded Local: HK$250,000 Non-local: HK$375,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2026 September,"Round 1 (Main): 12:00 noon (GMT +8), January 02, 2026 Round 2 (Clearing): 12:00 noon (GMT +8), April 10, 2026",Normative study period: 1 year. Maximum study period: 2 years. Most classes will be held in weekday evenings or during weekends. Some classes will be held in weekday daytime. There are two semesters and one summer semester in an academic year.
MSc(Eng)(CivE),HKU,Faculty of Engineering,Master of Science in Engineering (Civil Engineering) - General Stream,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-engineering-(civil-engineering)-general-stream-engg&mode=0,1 year,"Self-funded Local: HK$250,000 Non-local: HK$375,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2026 September,"Round 1 (Main): 12:00 noon (GMT +8), January 02, 2026 Round 2 (Clearing): 12:00 noon (GMT +8), April 10, 2026",Normative study period: 1 year. Maximum study period: 2 years. Most classes will be held in weekday evenings or during weekends. Some classes will be held in weekday daytime. There are two semesters and one summer semester in an academic year.
MSc(Eng)(CivE),HKU,Faculty of Engineering,Master of Science in Engineering (Civil Engineering) - Geotechnical Engineering Stream,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-engineering-(civil-engineering)-geotechnical-engineering-stream-engg&mode=0,1 year,"Self-funded Local: HK$250,000 Non-local: HK$375,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2026 September,"Round 1 (Main): 12:00 noon (GMT +8), January 02, 2026 Round 2 (Clearing): 12:00 noon (GMT +8), April 10, 2026",Normative study period: 1 year. Maximum study period: 2 years. Most classes will be held in weekday evenings or during weekends. Some classes will be held in weekday daytime. There are two semesters and one summer semester in an academic year.
MSc(Eng)(CivE),HKU,Faculty of Engineering,Master of Science in Engineering (Civil Engineering) - Structural Engineering Stream,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-engineering-(civil-engineering)-structural-engineering-stream-engg&mode=0,1 year,"Self-funded Local: HK$250,000 Non-local: HK$375,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2026 September,"Round 1 (Main): 12:00 noon (GMT +8), January 02, 2026 Round 2 (Clearing): 12:00 noon (GMT +8), April 10, 2026",Normative study period: 1 year. Maximum study period: 2 years. Most classes will be held in weekday evenings or during weekends. Some classes will be held in weekday daytime. There are two semesters and one summer semester in an academic year.
MSc(Eng)(EEE),HKU,Faculty of Engineering,Master of Science in Engineering (Electrical and Electronic Engineering) - Communications Engineering Stream,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-engineering-(electrical-and-electronic-engineering)-communications-engineering-stream-engg&mode=0,1 year,"Self-funded Local: HK$250,000 Non-local: HK$375,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2026 September,"Round 1 (Main): 12:00 noon (GMT +8), January 02, 2026 Round 2 (Clearing): 12:00 noon (GMT +8), April 10, 2026",Normative study period: 1 year. Maximum study period: 2 years. Classes mainly on weekday evenings and Saturdays.
MSc(Eng)(EEE),HKU,Faculty of Engineering,Master of Science in Engineering (Electrical and Electronic Engineering) - General Stream,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-engineering-(electrical-and-electronic-engineering)-general-stream-engg&mode=0,1 year,"Self-funded Local: HK$250,000 Non-local: HK$375,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2026 September,"Round 1 (Main): 12:00 noon (GMT +8), January 02, 2026 Round 2 (Clearing): 12:00 noon (GMT +8), April 10, 2026",Normative study period: 1 year. Maximum study period: 2 years. Classes mainly on weekday evenings and Saturdays.
MSc(Eng)(EEE),HKU,Faculty of Engineering,Master of Science in Engineering (Electrical and Electronic Engineering) - Power Engineering Stream,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-engineering-(electrical-and-electronic-engineering)-power-engineering-stream-engg&mode=0,1 year,"Self-funded Local: HK$250,000 Non-local: HK$375,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2026 September,"Round 1 (Main): 12:00 noon (GMT +8), January 02, 2026 Round 2 (Clearing): 12:00 noon (GMT +8), April 10, 2026",Normative study period: 1 year. Maximum study period: 2 years. Classes mainly on weekday evenings and Saturdays.
MSc(Eng)(EnergyE),HKU,Faculty of Engineering,Master of Science in Engineering (Energy Engineering),Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-engineering-(energy-engineering)-engg&mode=0,1 year,"Self-funded Local: HK$250,000 Non-local: HK$375,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2026 September,"Round 1 (Main): 12:00 noon (GMT +8), January 02, 2026 Round 2 (Clearing): 12:00 noon (GMT +8), April 10, 2026",Normative study period: 1 year. Maximum study period: 2 years. Classes mainly on weekday evenings and Saturdays.
MSc(Eng)(IELM),HKU,Faculty of Engineering,Master of Science in Engineering (Industrial Engineering and Logistics Management),Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-engineering-(industrial-engineering-and-logistics-management)-engg&mode=0,1 year,"Self-funded Local: HK$250,000 Non-local: HK$375,000 *A ‘non-local’ student is a person entering Hong Kong for the purpose of education with a student visa/entry permit issued by the Director of Immigration.",2026 September,"Round 1 (Main): 12:00 noon (GMT +8), January 02, 2026 Round 2 (Clearing): 12:00 noon (GMT +8), April 10, 2026",Normative study period: 1 year. Maximum study period: 2 years.
